MGS.Sample.ID,gini_simpson_index,inverse_simpson_index
BQ2470523AB,0.824403922,5.694888017
BQ6053223AB,0.833833726,6.018068372
BQ6052423AB,0.453413082,1.829535189
BQ6052623AB,0.952864722,21.21553185
BQ9051923AB,0.959587888,24.74505685
BQ1612323AB,0.859009511,7.092677021
BQ6052223AB,0.942545202,17.40498688
BQ1611223AB,0.92855499,13.9967787
BQ1594023AB,0.938126547,16.16202026
BQ1594423AB,0.94436943,17.97572805
BQ1610704AB,0.85933294,7.108984865
BQ1610223AB,0.954577147,22.01534999
BQ1594123AB,0.724374362,3.628109518
BQ1594523AB,0.815684997,5.425494297
BQ1593923AB,0.885040104,8.698685697
BQ1593523AB,0.923181158,13.01763965
BQ1592804AB,0.849553527,6.646882312
BQ1592704AB,0.442458668,1.793589
BQ1609723AB,0.85456588,6.875965576
BQ1593423AB,0.289519659,1.407498479
BQ1591823AB,0.951974835,20.8224167
BQ1593323AB,0.552397819,2.234126737
BP3914904AB,0.553688942,2.240589788
BP9276523AB,0.932041981,14.71496696
BP6180123AB,0.564750149,2.297530943
BP9276423AB,0.927618561,13.8156965
BP7181323AB,0.977795538,45.03599399
BP6180823AB,0.855013083,6.897174033
BP6180923AB,0.908578474,10.93834285
BP6179523AB,0.762850072,4.216741731
BP3914704AB,0.86891375,7.628565156
BP3872423AB,0.877738139,8.179165547
BP3872623AB,0.894200406,9.45183207
BP3871723AB,0.572027939,2.336601128
BP3872004AB,0.848734658,6.610899684
BP3872204AB,0.514001088,2.057617777
BP3841723AB,0.805054552,5.129640176
BP3839523AB,0.67247426,3.053195148
BP3833223AB,0.946088751,18.54900435
BP3762623AB,0.966079256,29.48048557
BP3840604AB,0.785902468,4.670768462
BP3832623AB,0.928737159,14.03255866
BP3762224AB,0.957870424,23.73629414
BP3831604AB,0.866384188,7.484144171
BP3830523AB,0.924094793,13.17432677
BP3761723AB,0.883611219,8.591893399
BP3761005AB,0.71357162,3.49127416
BP3756723AB,0.952665411,21.1262
BP3755504AB,0.908048938,10.87535016
BP3756023AB,0.941962964,17.23037692
BP3832223AB,0.863457285,7.323715515
BP3753123AB,0.94976935,19.90816369
BP3754923AB,0.825933512,5.7449312
BP3747623AB,0.90778251,10.84392991
BP3753623AB,0.963074758,27.08174568
BP3751923AB,0.970093184,33.43719372
BP3757023AB,0.950225105,20.09044939
BP3747023AB,0.927844627,13.85898175
BP3747824AB,0.956871126,23.18632309
BP3748123AB,0.958712981,24.22068799
BP3747223AB,0.93796948,16.12109645
BP3746504AB,0.944779047,18.10906802
BP3746604AB,0.775341136,4.451193162
BP3745323AB,0.934194496,15.1962972
BP3745123AB,0.724536096,3.630239696
BP3744723AB,0.31347452,1.456610176
BP3746023AB,0.883100028,8.554321989
BP3743404AB,0.763703086,4.231963859
BP3744223AB,0.446238297,1.805830912
BP3742323AB,0.728003367,3.676516102
BK1494623AB,0.727841894,3.674334795
BI5711623AB,0.891132791,9.185502322
BP3744123AB,0.762862036,4.216954476
BI5712023AB,0.939077583,16.4143192
BL5001723AB,0.817809218,5.488751893
BG1869923AB,0.914680424,11.72063953
BK1494223AB,0.931641705,14.62880265
BL5001523AB,0.932291478,14.76918959
BP3742523AB,0.915369196,11.81602858
BP3762123AB,0.921527408,12.74330277
BU9529923AB,0.848042009,6.580766134
CC2397723AB,0.942256882,17.31808096
BT7831723AB,0.85747787,7.016454234
BP3857523AB,0.867372627,7.539921632
BS9432823AB,0.706762351,3.410203307
BP3830323AB,0.903502645,10.36297838
BP3830423AB,0.715086867,3.509841721
BP3752404AB,0.936041375,15.63510784
BQ9051823AB,0.731394349,3.72292986
CJ6949623AB,0.825688123,5.736843744
BP3858704AB,0.587509211,2.42429656
BV0011423AB,0.91028551,11.14647137
BS7574723AB,0.903433977,10.35560928
BV1613423AB,0.927693113,13.82994121
BU9527704AB,0.893929016,9.42764891
BU9528124AB,0.855012034,6.897124141
BT7857323AB,0.632566648,2.721582006
CJ6951223AB,0.727633846,3.671528141
CA5528123AB,0.918158019,12.21866814
BS7568123AB,0.593465338,2.459814853
BU9528823AB,0.859519043,7.118402514
BP3858304AB,0.718780501,3.555941191
BQ9051423AB,0.95829298,23.97677869
BS9434023AB,0.903348365,10.3464365
BS7574523AB,0.900215791,10.02162574
BT0480323AB,0.803928219,5.100172994
CG3853104AB,0.916571618,11.98632856
BS9433623AB,0.917155499,12.07080727
BQ6051923AB,0.90870089,10.95300926
BZ2249423AB,0.702786346,3.364582976
BP3832123AB,0.572055144,2.336749668
BW4832423AB,0.636855758,2.753726717
BR3953023AB,0.775443406,4.453220371
BP3857023AB,0.916780456,12.0164081
BS7568023AB,0.795756594,4.896118895
BU9530523AB,0.96611685,29.51319462
BS7574623AB,0.951905828,20.79254
BR3953123AB,0.829222178,5.855561277
CI1249123AB,0.927501656,13.79341844
BY3567523AB,0.835322175,6.072463002
BP3764923AB,0.93297056,14.91881776
BR3952823AB,0.762221487,4.205594468
CC3999123AB,0.924273689,13.2054498
CF2635623AB,0.92408458,13.17255443
BT7832823AB,0.94065833,16.85156472
BP3757123AB,0.914095561,11.64084198
BP3755923AB,0.753803159,4.061790533
BP3855904AB,0.872355392,7.834251821
BV0011623AB,0.776448379,4.473239754
CC2402023AB,0.94792346,19.20250473
BS7571523AB,0.878403917,8.223949093
BV1613104AB,0.857498825,7.017486012
BV9354223AB,0.685946469,3.184170536
BP3857123AB,0.905805115,10.61628773
BP3863523AB,0.54164629,2.181721186
CC2403723AB,0.736633129,3.796984773
BP3785923AB,0.890937331,9.169040232
BU9526823AB,0.713264087,3.487529659
BY3568423AB,0.897747864,9.779746774
BP3854623AB,0.888282392,8.951140438
BS9434323AB,0.575111064,2.353556222
BP3842223AB,0.950927524,20.37802225
BV1613323AB,0.897199538,9.7275827
BP3809723AB,0.819870393,5.551558211
BV1345923AB,0.916225765,11.93684425
BP7181023AB,0.907682468,10.83217866
BT7078223AB,0.961753166,26.14595466
BU9528223AB,0.760756693,4.179845244
BS7568223AB,0.797136995,4.929435005
BP7180023AB,0.889029151,9.011375559
BQ9051523AB,0.944556093,18.03624688
BP3833123AB,0.963157556,27.14260724
BP3765823AB,0.943064645,17.56377918
BP3762323AB,0.911363451,11.28202772
BQ1592904AB,0.863470312,7.324414328
CJ6949123AB,0.898453127,9.847669091
BV0011024AB,0.736674971,3.797588113
BP3811323AB,0.584842214,2.408722743
BP3765423AB,0.924134318,13.18119047
BY3568204AB,0.811556296,5.306624617
BP3832823AB,0.470495384,1.888557662
BP3858323AB,0.846698652,6.52309986
BP3832723AB,0.951716473,20.71099753
BP3856423AB,0.457587826,1.843616436
BU9529423AB,0.922439207,12.89311204
BV0298623AB,0.810932723,5.289122559
BU9528923AB,0.944672198,18.07409591
BP3760904AB,0.58143833,2.3891342
BS9434723AB,0.893942877,9.428881046
BP3753723AB,0.932843136,14.89051074
BP3756623AB,0.958935398,24.35187382
BR3954623AB,0.893634559,9.401549856
BR3955923AB,0.832059927,5.954504959
BP3861323AB,0.839410474,6.227056185
CJ6949523AB,0.930127733,14.31182998
BR2437423AB,0.52637501,2.111375079
BS7572523AB,0.884746466,8.676523543
BT7831623AB,0.936741746,15.80821382
BP3751323AB,0.930302709,14.34775991
BU9530723AB,0.899016872,9.902644307
CG3853123AB,0.892654518,9.315715776
BU2836323AB,0.883332098,8.571337824
CF2718923AB,0.941799211,17.18189752
BP3860523AB,0.825382188,5.726792647
BU9530623AB,0.904010077,10.41776025
BV1613523AB,0.940598922,16.83471142
BP6180223AB,0.68306262,3.155197409
BX5573023AB,0.952712426,21.14720438
BS9433204AB,1,Inf
BP3857623AB,0.927090661,13.71566406
BS7571823AB,0.898523866,9.854533865
BV0011223AB,0.943936172,17.83681258
CA4825123AB,0.902927933,10.30162471
BP3859923AB,0.596825722,2.480316963
BV1346023AB,0.764177892,4.240484526
CC3999223AB,0.910051104,11.11742386
BU2836223AB,0.919467106,12.41728621
BU9526623AB,1,Inf
BY7682423AB,0.922705315,12.93750012
BP3785304AB,0.821460088,5.60098852
BS7570523AB,0.932314594,14.77423362
BR2437523AB,0.870601908,7.728089231
BP3764723AB,0.796058098,4.903357235
BV9355523AB,0.78021323,4.54986439
CC2401104AB,0.915010461,11.76615401
BP3854723AB,0.746250499,3.940894445
CC3999923AB,0.837268734,6.145100617
BU9528723AB,0.90246012,10.25221682
BS7572623AB,0.738464663,3.823575086
BP3860023AB,0.845703667,6.481035411
BS9435123AB,0.780267619,4.550990588
BP3856523AB,0.790189845,4.766213543
BU9527504AB,0.88930301,9.0336693
BU9527604AB,0.549785583,2.221163879
CA4826323AB,0.763064365,4.220555515
BP3857723AB,0.853171367,6.810660697
BV9355223AB,0.813740324,5.368848589
BT7831304AB,0.53115217,2.132888191
BP3755304AB,0.858858727,7.085099781
CC5938623AB,0.853855126,6.842525331
BP3763123AB,0.91314914,11.51399079
BQ3401623AB,0.695290854,3.28181813
CJ0203823AB,0.828712983,5.838154092
BU9526723AB,0.268428299,1.366920015
CA5530223AB,0.885796623,8.756308476
CJ6951423AB,0.947319764,18.98245092
BP3764304AB,0.923322847,13.04169445
BP3860623AB,0.928468984,13.97994967
BU9528323AB,0.842147323,6.335020839
CA5531123AB,0.885015662,8.69683661
BR3955723AB,0.962215353,26.46577618
BV1613723AB,0.906638965,10.71110659
CC2401204AB,0.604185025,2.52643296
BX5572923AB,0.952484193,21.04562813
CI1249223AB,0.825630514,5.734948361
BP3754123AB,0.959581032,24.74085939
CC2403823AB,0.749111215,3.985829818
BS7569604AB,0.845439854,6.469973185
CA5529504AB,0.893961631,9.430548678
BV9354904AB,0.823047456,5.651232681
BP3863123AB,0.66346009,2.97141578
BT7832023AB,0.779666477,4.538574009
BP3862423AB,0.846427925,6.511600477
BP3761623AB,0.840250411,6.259797009
BV1613223AB,0.906285425,10.67069876
CF2719023AB,0.956244764,22.8544076
CF2633504AB,0.774833233,4.441152716
BQ5475723AB,0.955489819,22.46676996
BP3810823AB,0.865241901,7.420704284
BP3786523AB,0.95286164,21.21414482
BV0010923AB,0.83955364,6.232612584
BP3841223AB,0.885087656,8.702285278
BX1334723AB,0.671959807,3.048406935
BP3859523AB,0.842315493,6.341777114
BP3752923AB,0.935979767,15.62006188
CC2403023AB,0.807332303,5.190283669
BP3861904AB,0.701851076,3.354028534
BU9529323AB,0.940610432,16.83797408
BP3761523AB,0.826985578,5.779864978
BU9529523AB,0.744225932,3.909700501
BP3765323AB,0.931375988,14.57215881
BP3832023AB,0.872014932,7.813411454
BP3831404AB,0.928177283,13.9231715
BP3765923AB,0.894159703,9.448197234
BT7832423AB,0.604490874,2.528386667
BR3951023AB,0.916064262,11.91387637
CA5531223AB,0.935806402,15.57787742
BX5572823AB,0.728818926,3.68757298
BP3743004AB,0.581255068,2.388088602
BP3761104AB,0.788439127,4.726771943
BP3840704AB,0.699061027,3.322932856
BV1613004AB,0.792495885,4.819181542
BT1115123AB,0.932005099,14.70698505
BY7682623AB,0.646228769,2.826685471
CC5299523AB,0.92954063,14.19257648
BS7569804AB,0.430870353,1.757068896
BP3831504AB,0.78139103,4.574377704
CH2339323AB,0.951042811,20.42600919
CC4000023AB,0.643991299,2.808920108
CJ6950123AB,0.914547123,11.70235609
CJ6949223AB,0.940950966,16.93507793
BP3806723AB,0.873202233,7.886574234
BP3787023AB,0.958706621,24.21695738
CJ7567523AB,0.919437675,12.41275007
BT7833223AB,0.946942205,18.84737194
CJ7567623AB,0.883682444,8.597154465
BS7574423AB,0.941321772,17.04209603
CJ6950304AB,0.929659703,14.21660187
BZ2249623AB,0.763596535,4.230056447
BX5573123AB,0.850626137,6.69461162
CA4826423AB,0.944557765,18.03679101
CL6626123AB,0.932468336,14.80786849
BV6399623AB,0.766192033,4.277014228
CL6627723AB,0.776218892,4.468652459
